order,y_pred
0,843.1449
1,1015.1318
2,843.1449
3,1045.084
4,988.3464
5,843.1449
6,1384.5735
7,1462.9839
8,843.1449
9,940.57245
10,1111.8654
11,1314.3733
12,843.1449
13,985.6208
14,843.1449
15,843.1449
16,886.51013
17,1073.0356
18,1541.6012
19,1528.3643
20,1255.8867
21,1623.2286
22,843.1449
23,1210.7693
24,996.7953
25,926.3038
26,843.1449
27,873.25885
28,1108.6
29,1259.6746
30,1341.4639
31,1321.3824
32,1554.58
33,1442.0593
34,843.1449
35,1327.8024
36,843.1449
37,1394.0879
38,843.1449
39,1562.2158
40,843.1449
41,1507.3241
42,868.24493
43,938.2933
44,1267.738
45,1476.2471
46,843.1449
47,859.2606
48,861.59503
49,1846.9897
50,843.1449
51,1588.719
52,1081.9298
53,1016.3571
54,843.1449
55,1138.6343
56,843.1449
57,899.14703
58,1295.761
59,1349.9219
60,864.21344
61,1069.9125
62,843.1449
63,843.1449
64,1049.2363
65,1363.1438
66,895.12897
67,843.1449
68,1342.7356
69,1329.3081
70,877.8151
71,843.1449
72,843.1449
73,1459.666
74,1604.8738
75,1639.0819
76,874.52136
77,843.1449
78,1085.2504
79,1173.0272
80,1576.644
81,1576.6841
82,843.1449
83,1040.0079
84,1252.4904
85,1823.1365
86,843.1449
87,879.02686
88,843.1449
89,912.4465
90,1004.83075
91,1425.467
92,1146.4452
93,873.8628
94,1181.3344
95,1635.0406
96,1325.5527
97,1038.4281
98,2025.2485
99,2074.6304
100,934.7535
101,843.1449
102,908.3437
103,879.8865
104,855.52155
105,1297.811
106,1610.5431
107,1261.9777
108,890.06366
109,873.5734
110,1654.8735
111,1297.0447
112,843.1449
113,843.1449
114,1165.5227
115,1272.3103
116,843.1449
117,1101.7727
118,844.7234
119,843.1449
120,965.0389
121,1290.0911
122,843.1449
123,896.0988
124,843.1449
125,863.1522
126,908.2939
127,843.1449
128,857.48956
129,843.1449
130,888.50665
131,1148.7935
132,1412.0017
133,1403.0308
134,1950.7241
135,1368.9976
136,843.1449
137,843.1449
138,843.1449
139,1142.5082
140,1296.4946
141,1496.229
142,1070.3751
143,992.2647
144,1359.5442
145,1666.513
146,843.1449
147,843.1449
148,1060.0354
149,972.90594
150,1619.388
151,1809.304
152,843.1449
153,1170.586
154,1503.8293
155,1666.4978
156,843.1449
157,1119.3861
158,888.0278
159,1035.5516
160,843.1449
161,931.5369
162,843.1449
163,886.26227
164,843.1449
165,843.1449
166,843.1449
167,907.85626
168,1385.9487
169,1232.2344
170,873.2536
171,987.6209
172,1009.11096
173,1519.2571
174,1185.3934
175,853.65454
176,1566.4059
177,1479.2363
178,874.84534
179,907.20575
180,1138.6185
181,1379.3373
182,843.1449
183,1144.0367
184,965.6524
185,1259.3918
186,907.8954
187,1264.71
188,843.1449
189,1015.78705
190,884.99884
191,1525.5277
192,2329.0652
193,2362.8777
194,979.45
195,843.1449
196,1158.9673
197,1687.7664
198,927.30927
199,923.7215
200,932.37006
201,1192.6105
202,1383.8761
203,1515.9681
204,933.44464
205,843.1449
206,905.5872
207,2028.2109
208,1014.4345
209,865.42664
210,1103.7356
211,1490.5138
212,843.1449
213,1070.9974
214,1101.5702
215,1030.2542
216,843.1449
217,843.1449
218,1078.511
219,1915.0033
220,843.1449
221,843.1449
222,1203.7253
223,2027.9401
224,960.678
225,850.4079
226,843.1449
227,843.1449
228,1251.8059
229,1674.061
230,1270.4727
231,1387.9325
232,1210.0436
233,843.1449
234,843.1449
235,944.9908
236,1432.2988
237,1447.2097
238,843.1449
239,1360.7964
240,1288.1917
241,1684.3926
242,1998.3732
243,843.1449
244,1462.9138
245,852.29144
246,863.7834
247,2120.219
248,843.1449
249,1669.9404
250,843.1449
251,843.1449
252,1009.8809
253,1884.0312
254,843.1449
255,858.57806
256,1386.2817
257,1951.1436
258,843.1449
259,843.1449
260,1041.0957
261,1459.4302
262,911.0345
263,843.1449
264,859.63837
265,1016.3488
266,1645.2335
267,1584.3589
268,843.1449
269,843.1449
270,843.1449
271,881.2227
272,1520.1316
273,1493.5156
274,843.1449
275,1372.864
276,843.1449
277,1201.1989
278,964.705
279,1369.6287
280,843.1449
281,941.53455
282,843.1449
283,938.2227
284,843.1449
285,1441.0613
286,843.1449
287,843.1449
288,923.6729
289,1504.1567
290,843.1449
291,843.1449
292,1228.6553
293,1353.7708
294,1046.1296
295,843.1449
296,843.1449
297,843.1449
298,1351.2449
299,1293.9612
300,843.1449
301,944.6377
302,1648.823
303,1339.9473
304,1043.9338
305,843.1449
306,843.1449
307,843.1449
308,995.39746
309,843.1449
310,843.1449
311,1049.3982
312,1544.213
313,1302.0166
314,1386.55
315,1332.469
316,843.1449
317,1198.4146
318,843.1449
319,1430.2637
320,843.1449
321,1097.0443
322,843.1449
323,1589.105
324,843.1449
325,843.1449
326,1186.8932
327,1236.1384
328,843.1449
329,843.1449
330,843.1449
331,1432.5808
332,936.94025
333,1156.5614
334,843.1449
335,843.1449
336,904.06805
